video_id,frames,gt,tp,fp,fn,id_switches,precision,recall,f1,mota,motp_iou
random_sim_6bot_naturallight_occlusion3,299,1794,1582,226,212,12,0.875,0.8818283166109253,0.8784008883953359,0.7491638795986622,0.7499875217457884
random_sim_6bot_naturallight_occlusion4,303,1818,1604,118,214,12,0.9314750290360047,0.8822882288228823,0.9062146892655367,0.8107810781078107,0.7185480651279302
straight_line_6bots,143,858,851,4,7,3,0.9953216374269006,0.9918414918414918,0.9935785172212493,0.9836829836829837,0.7881560173209219
TOTAL,,4470,4037,348,433,27,0.9206385404789054,0.9031319910514541,0.9118012422360249,0.8192393736017898,0.7455417702767257
