video_id,frames,gt,tp,fp,fn,id_switches,precision,recall,f1,mota,motp_iou
random_sim_5bot_dark,1671,8355,4357,3523,3998,46,0.5529187817258884,0.5214841412327947,0.5367416076378196,0.09431478156792339,0.6571242448316377
random_sim_6bot_naturallight_occlusion3,299,1794,1605,284,189,28,0.8496559025939651,0.8946488294314381,0.8715720879717622,0.7207357859531773,0.7544685987380738
random_sim_6bot_naturallight_occlusion4,303,1818,1658,214,160,17,0.8856837606837606,0.911991199119912,0.8986449864498645,0.7849284928492849,0.7208476204135288
straight_line_6bots,143,858,858,19,0,14,0.9783352337514253,1.0,0.9890489913544669,0.9615384615384616,0.7893619469847637
TOTAL,,12825,8478,4040,4347,105,0.6772647387761623,0.6610526315789473,0.6690604900761551,0.3378557504873294,0.7013977755207138
