video_id,frames,gt,tp,fp,fn,id_switches,precision,recall,f1,mota,motp_iou
random_sim_5bot_dark,1671,8355,4155,3306,4200,31,0.5568958584640129,0.49730700179533216,0.5254172989377845,0.09790544584081384,0.6594491589237258
random_sim_6bot_naturallight_occlusion3,299,1794,1598,233,196,22,0.8727471327143638,0.8907469342251951,0.8816551724137932,0.7486064659977704,0.7528935990350343
random_sim_6bot_naturallight_occlusion4,303,1818,1616,128,202,14,0.926605504587156,0.8888888888888888,0.9073554183043234,0.8107810781078107,0.720967216029823
straight_line_6bots,143,858,857,7,1,6,0.9918981481481481,0.9988344988344988,0.9953542392566782,0.9836829836829837,0.7894053745622835
TOTAL,,12825,8226,3674,4599,73,0.6912605042016807,0.6414035087719299,0.6653993933265926,0.34923976608187135,0.7032261917931116
