condition,confidence_threshold,tp,fp,fn,precision_pct,recall_pct,f1_pct,mean_iou_pct
Natural light occlusion,0.25,3263,498,349,86.76,90.34,88.51,73.74
Straight line,0.25,858,19,0,97.83,100.0,98.9,78.94
